State,State,District,Women,Men
RJ,Rajasthan,Nagaur,1167,168
RJ,Rajasthan,Pali,1061,123
RJ,Rajasthan,Pratapgarh,1063,148
RJ,Rajasthan,Rajsamand,1060,138
RJ,Rajasthan,Sawai Madhopur,1115,155
RJ,Rajasthan,Sikar,1261,158
RJ,Rajasthan,Sirohi,996,148
RJ,Rajasthan,Tonk,1084,136
RJ,Rajasthan,Udaipur,990,130
SK,Sikkim,East,2028,345
SK,Sikkim,North,1049,186
SK,Sikkim,South,1091,47
SK,Sikkim,West,1125,223
TG,Telangana,Adilabad,764,107
TG,Telangana,Hyderabad,830,109
TG,Telangana,Karimnagar,728,99
TG,Telangana,Khammam,778,109
TG,Telangana,Mahbubnagar,757,104
TG,Telangana,Medak,743,107
TG,Telangana,Nalgonda,723,108
TG,Telangana,Nizamabad,752,83
TG,Telangana,Rangareddy,762,118
TG,Telangana,Warangal,730,110
TN,Tamil Nadu,Ariyalur,806,133
TN,Tamil Nadu,Chennai,928,126
TN,Tamil Nadu,Coddalore,961,165
TN,Tamil Nadu,Coimbatore,1009,183
TN,Tamil Nadu,Dharmapuri,965,172
TN,Tamil Nadu,Dindigul,995,173
TN,Tamil Nadu,Erode,1003,163
TN,Tamil Nadu,Kancheepuram,958,175
TN,Tamil Nadu,Kanniyakumari,836,135
TN,Tamil Nadu,Karur,973,158
TN,Tamil Nadu,Krishnagiri,1120,200
TN,Tamil Nadu,Madurai,796,131
TN,Tamil Nadu,Nagapattinam,935,137
TN,Tamil Nadu,Namakkal,901,169
TN,Tamil Nadu,Perambalur,912,140
TN,Tamil Nadu,Pudukkottai,912,126
TN,Tamil Nadu,Ramanathapuram,777,99
TN,Tamil Nadu,Salem,988,173
TN,Tamil Nadu,Sivaganga,876,114
TN,Tamil Nadu,Thanjavur,868,144
TN,Tamil Nadu,The Nilgiris,973,185
TN,Tamil Nadu,Theni,792,126
TN,Tamil Nadu,Thiruvallur,911,188
TN,Tamil Nadu,Thiruvarur,887,132
TN,Tamil Nadu,Thoothukkudi,761,125
TN,Tamil Nadu,Tiruchirappalli,785,142
TN,Tamil Nadu,Tirunelveli,709,110
TN,Tamil Nadu,Tiruppur,883,170
TN,Tamil Nadu,Tiruvannamalai,916,151
TN,Tamil Nadu,Vellore,954,178
TN,Tamil Nadu,Viluppuram,992,162
TN,Tamil Nadu,Virudhunagar,738,110
TR,Tripura,Dhalai,968,170
TR,Tripura,North Tripura,961,171
TR,Tripura,South Tripura,937,162
TR,Tripura,West Tripura,1938,318
UP,Uttar Pradesh,Agra,2448,357
UP,Uttar Pradesh,Aligarh,2477,348
UP,Uttar Pradesh,Allahabad,1162,142
UP,Uttar Pradesh,Ambedkar Nagar,1407,172
UP,Uttar Pradesh,Auraiya,971,113
UP,Uttar Pradesh,Azamgarh,1303,138
UP,Uttar Pradesh,Baghpat,1239,188
UP,Uttar Pradesh,Bahraich,1021,130
UP,Uttar Pradesh,Ballia,1329,156
UP,Uttar Pradesh,Balrampur,1260,138
UP,Uttar Pradesh,Banda,789,135
UP,Uttar Pradesh,Bara Banki,987,130
UP,Uttar Pradesh,Bareilly,2506,345
UP,Uttar Pradesh,Basti,1243,114
UP,Uttar Pradesh,Bijnor,1265,173
UP,Uttar Pradesh,Budaun,1113,164
UP,Uttar Pradesh,Bulandshahr,1259,181
UP,Uttar Pradesh,Chandauli,1328,189
UP,Uttar Pradesh,Chitrakoot,1089,134
UP,Uttar Pradesh,Deoria,1289,131
UP,Uttar Pradesh,Etah,1163,163
UP,Uttar Pradesh,Etawah,1145,167
UP,Uttar Pradesh,Faizabad,1202,142
UP,Uttar Pradesh,Farrukhabad,1159,169
UP,Uttar Pradesh,Fatehpur,923,124
UP,Uttar Pradesh,Firozabad,2506,369
UP,Uttar Pradesh,Gautam Buddha Nagar,2194,347
UP,Uttar Pradesh,Ghaziabad,2281,344
UP,Uttar Pradesh,Ghazipur,1223,165
UP,Uttar Pradesh,Gonda,1216,123
UP,Uttar Pradesh,Gorakhpur,1212,145
UP,Uttar Pradesh,Hamirpur,871,128
UP,Uttar Pradesh,Hardoi,1000,128
UP,Uttar Pradesh,Jalaun,894,119
UP,Uttar Pradesh,Jaunpur,1318,145
UP,Uttar Pradesh,Jhansi,1955,253
UP,Uttar Pradesh,Jyotiba Phule Nagar,1271,197
UP,Uttar Pradesh,Kannauj,1134,153
UP,Uttar Pradesh,Kanpur Dehat,965,157
UP,Uttar Pradesh,Kanpur Nagar,1901,309
UP,Uttar Pradesh,Kanshiram Nagar,1146,145
UP,Uttar Pradesh,Kaushambi,1026,127
UP,Uttar Pradesh,Kheri,1046,143
UP,Uttar Pradesh,Kushinagar,1360,134
UP,Uttar Pradesh,Lalitpur,900,134
UP,Uttar Pradesh,Lucknow,1862,251
UP,Uttar Pradesh,Mahamaya Nagar,1135,150
UP,Uttar Pradesh,Maharajganj,1346,111
UP,Uttar Pradesh,Mahoba,908,98
UP,Uttar Pradesh,Mainpuri,1137,181
UP,Uttar Pradesh,Mathura,1220,165
UP,Uttar Pradesh,Mau,1359,153
UP,Uttar Pradesh,Meerut,3334,433
UP,Uttar Pradesh,Mirzapur,1113,156
UP,Uttar Pradesh,Moradabad,2487,363
UP,Uttar Pradesh,Muzaffarnagar,1251,159
UP,Uttar Pradesh,Pilibhit,1152,190
UP,Uttar Pradesh,Pratapgarh,1216,119
UP,Uttar Pradesh,Rae Bareli,1123,180
UP,Uttar Pradesh,Rampur,1312,180
UP,Uttar Pradesh,Saharanpur,2487,341
UP,Uttar Pradesh,Sant Kabir Nagar,1349,127
UP,Uttar Pradesh,Sant Ravidas Nagar,1317,159
UP,Uttar Pradesh,Shahjahanpur,1064,155
UP,Uttar Pradesh,Shrawasti,1055,111
UP,Uttar Pradesh,Siddharthnagar,1236,120
UP,Uttar Pradesh,Sitapur,985,136
UP,Uttar Pradesh,Sonbhadra,1027,147
UP,Uttar Pradesh,Sultanpur,1151,126
UP,Uttar Pradesh,Unnao,1097,151
UP,Uttar Pradesh,Varanasi,2442,369
UT,Uttaranchal,Almora,931,76
UT,Uttaranchal,Bageshwar,1072,107
UT,Uttaranchal,Chamoli,849,85
UT,Uttaranchal,Champawat,996,101
UT,Uttaranchal,Dehradun,2032,231
UT,Uttaranchal,Garhwal,939,122
UT,Uttaranchal,Hardwar,2321,308
UT,Uttaranchal,Nainital,2170,264
UT,Uttaranchal,Pithoragarh,862,94
UT,Uttaranchal,Rudraprayag,905,84
UT,Uttaranchal,Tehri Garhwal,984,93
UT,Uttaranchal,Udham Singh Nagar,2245,290
UT,Uttaranchal,Uttarkashi,994,139
WB,West Bengal,Bankura,939,143
WB,West Bengal,Barddhaman,986,134
WB,West Bengal,Birbhum,950,149
WB,West Bengal,Dakshin Dinajpur,867,132
WB,West Bengal,Darjiling,928,125
WB,West Bengal,Haora,930,126
WB,West Bengal,Hugli,871,99
WB,West Bengal,Jalpaiguri,899,124
WB,West Bengal,Koch Bihar,886,126
WB,West Bengal,Kolkata,803,95
WB,West Bengal,Maldah,911,129
WB,West Bengal,Murshidabad,1006,145
WB,West Bengal,Nadia,928,143
WB,West Bengal,North Twenty Four Parganas,872,107
WB,West Bengal,Paschim Medinipur,1013,114
WB,West Bengal,Purba Medinipur,925,140
WB,West Bengal,Puruliya,1012,133
WB,West Bengal,South Twenty Four Parganas,930,106
WB,West Bengal,Uttar Dinajpur,1012,132
